16S-Ctrl_L1_S1,Leaf-Ctrl2
16S-1_S3,Leaf-Magmax100-1
16S-28_S5,Leaf-L3.9-PlantPro100-1
16S-29_S6,Leaf-L3.9-PlantPro100-2
16S-2_S4,Leaf-Magmax100-2
16S-30_S7,Leaf-L7-PlantPro100-1
16S-31_S8,Leaf-L7-PlantPro100.2
16S-36_S9,Leaf-L3.9-Mericon100-1
16S-37_S10,Leaf-L3.9-Mericon100-2
16S-32_S5,Root-R3.9-PlantPro100-1
16S-33_S6,Root-R3.9-PlantPro100-2
16S-34_S7,Root-R7-PlantPro100-1
16S-35_S8,Root-R7-PlantPro100-2
16S-38_S9,Root-R3.9-Mericon100-1
16S-39_S10,Root-R3.9-Mericon100-2
16S-3_S3,Root-Magmax100-1
16S-4_S4,Root-Magmax100-2
16S-Ctrl-R1_S1,Root-Ctrl-1
16S-Ctrl-R2_S2,Root-Ctrl-2
